Campaign_ID,Campaign_Name,Channel,Objective,Start_Date,Budget,End_Date,Target_Audience
CMP1018,Always-On Promo 19,Meta Ads,Lead Generation,2025-07-09,84765.97,2025-09-12,25-34
CMP1045,Monsoon Promo 46,TikTok,Brand Awareness,2024-07-05,201851.99,2024-09-13,55+
CMP1047,Always-On Retargeting 48,YouTube,Conversions,2024-03-27,74545.09,2024-04-24,35-44
CMP1089,Always-On Awareness 90,LinkedIn,Lead Generation,2024-12-08,214875.41,2025-02-04,18-24
CMP1004,Festive Acquisition 5,YouTube,Conversions,2024-10-04,216529.45,2024-10-18,55+
CMP1040,Always-On Awareness 41,Meta Ads,Traffic,2024-08-02,47290.86,2024-08-22,55+
CMP1062,Always-On Awareness 63,Google Ads,Traffic,2024-04-26,140975.99,2024-05-26,55+
CMP1100,Monsoon Promo 101,YouTube,Brand Awareness,2024-02-25,85952.94,2024-05-02,45-54
CMP1031,Monsoon Promo 32,Google Ads,Conversions,2025-03-23,62565.08,2025-04-21,35-44
CMP1055,Festive Lead Gen 56,LinkedIn,Brand Awareness,2024-04-02,137818.47,2024-06-02,55+
CMP1053,New Year Lead Gen 54,Instagram,Conversions,2024-06-19,149521.17,2024-09-16,25-34
CMP1076,Always-On Retargeting 77,Email,Brand Awareness,2025-03-17,234989.95,2025-05-11,55+
CMP1010,Diwali Retargeting 11,Meta Ads,Lead Generation,2025-07-13,127301.16,2025-10-10,25-34
CMP1091,Monsoon Lead Gen 92,Instagram,Traffic,2024-09-06,43651.59,2024-11-12,25-34
CMP1093,Summer Retargeting 94,Email,Conversions,2024-01-30,176232.65,2024-04-02,55+
CMP1011,Festive Promo 12,LinkedIn,Brand Awareness,2025-06-04,112969,2025-08-18,35-44
CMP1077,Monsoon Lead Gen 78,Email,Traffic,2025-06-09,117907.45,2025-08-22,18-24
CMP1056,Diwali Awareness 57,Email,Traffic,2024-09-30,194522,2024-11-22,25-34
CMP1116,Summer Lead Gen 117,Meta Ads,Traffic,2024-12-13,48610.14,2025-01-26,45-54
CMP1000,Summer Lead Gen 1,Google Ads,Traffic,2024-06-21,198064.14,2024-07-27,18-24
CMP1026,Monsoon Awareness 27,LinkedIn,Conversions,2024-11-14,204032.08,2025-01-30,45-54
CMP1044,New Year Promo 45,LinkedIn,Lead Generation,2024-07-10,198916.66,2024-09-24,18-24
CMP1066,Summer Awareness 67,Instagram,Traffic,2024-09-14,196965.53,2024-10-29,18-24
CMP1108,Summer Acquisition 109,Meta Ads,Conversions,2025-05-17,40008.59,2025-08-11,25-34
CMP1024,New Year Lead Gen 25,TikTok,Conversions,2024-06-13,214411.71,2024-08-31,35-44
CMP1042,Diwali Lead Gen 43,YouTube,Lead Generation,2024-04-25,203207.78,2024-06-12,35-44
CMP1118,Diwali Awareness 119,Google Ads,Brand Awareness,2025-01-11,61577.99,2025-04-09,35-44
CMP1094,Festive Retargeting 95,LinkedIn,Brand Awareness,2024-01-05,17891.13,2024-02-22,18-24
CMP1036,Monsoon Acquisition 37,LinkedIn,Conversions,2025-06-12,37347.5,2025-08-06,35-44
CMP1090,Always-On Acquisition 91,LinkedIn,Traffic,2025-07-23,164712.36,2025-09-16,35-44
