Customer_ID,Age,Gender,City,Customer_Segment,Signup_Date
CUS103567,21,Female,Delhi,Returning,2023-03-10
CUS101322,53,Female,Pune,New,2024-05-10
CUS107134,20,Male,Pune,Returning,2023-08-26
CUS102407,64,Female,Chennai,New,2024-02-13
CUS107131,22,Female,Delhi,New,2023-03-07
CUS105448,58,Male,Bengaluru,Returning,2023-10-07
CUS103023,18,Male,Ahmedabad,Returning,2024-02-04
CUS101533,46,Male,Kolkata,New,2024-12-04
CUS100263,45,Male,Kolkata,Loyal,2025-02-03
CUS100743,60,Male,Delhi,New,2023-11-27
CUS103859,34,Female,Kolkata,Returning,2024-08-23
CUS105095,39,Male,Ahmedabad,New,2023-02-07
CUS106934,56,Male,Bengaluru,New,2023-09-04
CUS104194,47,Female,Hyderabad,New,2024-06-04
CUS104126,51,Male,Pune,High Value,2024-01-21
CUS101703,58,Female,Ahmedabad,Returning,2024-08-29
CUS106701,24,Male,Delhi,New,2024-02-08
CUS104704,45,Male,Chennai,Returning,2024-08-24
CUS105169,27,Female,Bengaluru,Loyal,2023-09-01
CUS105500,40,Male,Kolkata,New,2024-03-17
CUS104782,45,Male,Pune,Returning,2023-03-04
CUS106423,42,Female,Ahmedabad,New,2024-01-26
CUS106666,57,Female,Chennai,Returning,2024-12-09
CUS105356,57,Female,Hyderabad,New,2024-01-27
CUS100800,36,Male,Delhi,Returning,2024-05-22
CUS106721,24,Female,Pune,Returning,2024-10-03
CUS104886,52,Male,Ahmedabad,New,2025-06-11
CUS105586,21,Male,Delhi,New,2023-09-16
CUS106875,24,Female,Kolkata,New,2024-09-15
CUS102131,31,Male,Chennai,Returning,2024-01-04
CUS103616,21,Female,Kolkata,New,2024-11-24
CUS106826,54,Male,Hyderabad,High Value,2024-02-21
CUS105606,27,Male,Chennai,Loyal,2024-05-17
CUS106386,49,Female,Hyderabad,New,2024-11-19
CUS105412,32,Female,Mumbai,High Value,2023-06-09
CUS105196,21,Male,Mumbai,New,2024-03-24
CUS107990,23,Male,Mumbai,Returning,2023-04-04
CUS105708,29,Male,Delhi,High Value,2024-02-17
CUS107765,47,Male,Hyderabad,New,2023-06-04
CUS103951,58,Female,Hyderabad,Returning,2023-06-02
CUS106908,18,Female,Chennai,Returning,2024-12-20
CUS105599,42,Male,Hyderabad,New,2023-02-22
CUS107276,62,Female,Mumbai,Loyal,2025-06-13
CUS103378,23,Female,Pune,New,2023-01-12
CUS107203,43,Male,Delhi,New,2023-10-12
CUS105537,46,Male,Chennai,Returning,2023-07-06
CUS102609,26,Female,Chennai,New,2025-02-10
CUS101142,19,Male,Delhi,Returning,2023-11-01
CUS105121,63,Female,Chennai,High Value,2023-05-22
CUS103033,64,Male,Hyderabad,Returning,2024-11-26
CUS104608,54,Male,Chennai,Returning,2024-12-25
CUS106849,34,Male,Delhi,Loyal,2023-03-31
CUS100503,37,Male,Pune,New,2024-12-07
CUS100233,58,Male,Pune,New,2025-03-02
CUS100518,58,Female,Delhi,Returning,2025-04-07
CUS102080,23,Female,Pune,New,2024-08-23
CUS104546,38,Male,Hyderabad,Returning,2023-02-09
CUS103755,43,Male,Chennai,New,2023-05-31
CUS103379,49,Male,Delhi,High Value,2025-01-29
CUS104498,39,Male,Bengaluru,New,2023-06-29
CUS105273,59,Male,Delhi,Returning,2023-02-22
CUS105670,52,Male,Delhi,New,2024-01-29
CUS106302,29,Male,Kolkata,Returning,2024-11-04
CUS102570,23,Female,Ahmedabad,New,2024-07-30
CUS107223,43,Male,Mumbai,New,2024-01-08
CUS106441,65,Male,Delhi,Returning,2023-04-04
CUS107836,32,Male,Pune,New,2024-07-28
CUS102945,24,Female,Ahmedabad,Loyal,2025-01-25
CUS100748,47,Male,Kolkata,New,2023-06-15
CUS102301,55,Other,Mumbai,Returning,2024-02-20
CUS105920,61,Other,Kolkata,Returning,2024-06-08
CUS105159,31,Male,Bengaluru,Returning,2024-10-27
CUS103257,33,Female,Hyderabad,New,2025-02-06
CUS107480,64,Male,Bengaluru,High Value,2024-12-25
CUS106321,60,Female,Kolkata,High Value,2025-02-23
CUS101618,24,Male,Kolkata,High Value,2024-10-20
CUS103520,65,Female,Bengaluru,Loyal,2023-11-19
CUS107668,63,Male,Bengaluru,New,2024-12-24
CUS101295,65,Male,Mumbai,Loyal,2024-08-04
CUS104015,26,Male,Mumbai,Returning,2024-10-02
CUS106182,54,Male,Hyderabad,New,2023-04-09
CUS101025,31,Male,Pune,New,2024-03-26
CUS106751,32,Male,Mumbai,Returning,2024-11-18
CUS104246,45,Female,Pune,New,2024-06-14
CUS104505,53,Male,Kolkata,Loyal,2024-05-10
CUS103482,18,Female,Pune,New,2024-05-15
CUS100457,23,Male,Hyderabad,Loyal,2024-04-21
CUS104019,32,Female,Mumbai,New,2025-01-09
CUS103684,38,Male,Ahmedabad,Loyal,2024-08-28
CUS100033,32,Male,Mumbai,New,2023-04-19
CUS101199,50,Male,Ahmedabad,Returning,2024-12-30
CUS104871,57,Male,Chennai,Loyal,2024-09-01
CUS101615,35,Male,Ahmedabad,New,2025-05-05
CUS102088,57,Male,Chennai,New,2024-11-07
CUS102465,48,Male,Hyderabad,Loyal,2023-07-14
CUS105133,33,Female,Bengaluru,New,2024-06-10
CUS100222,51,Female,Chennai,New,2023-07-16
CUS100318,19,Male,Kolkata,New,2023-02-26
CUS106434,31,Female,Hyderabad,High Value,2023-04-21
CUS103357,63,Male,Chennai,Returning,2025-04-13
CUS101561,41,Male,Pune,Returning,2024-12-09
CUS100496,44,Female,Chennai,High Value,2023-02-17
CUS104970,37,Female,Bengaluru,High Value,2024-02-08
CUS107417,27,Male,Bengaluru,Returning,2025-03-25
CUS107218,21,Male,Chennai,New,2023-09-11
CUS106744,57,Female,Ahmedabad,New,2023-06-05
CUS107952,49,Male,Hyderabad,Returning,2024-03-22
CUS103497,27,Female,Delhi,New,2025-02-19
CUS101832,40,Other,Bengaluru,High Value,2024-11-24
CUS101197,20,Female,Delhi,Returning,2024-12-12
CUS101183,42,Male,Ahmedabad,New,2025-04-17
CUS100794,37,Male,Delhi,New,2024-11-19
CUS105478,63,Male,Hyderabad,Loyal,2024-03-02
CUS106787,19,Male,Kolkata,New,2023-06-05
CUS103834,55,Female,Mumbai,Returning,2024-08-19
CUS102858,52,Other,Pune,Loyal,2023-10-15
CUS103481,38,Male,Bengaluru,Loyal,2025-02-06
CUS102057,40,Male,Bengaluru,New,2023-08-26
CUS101790,31,Male,Pune,New,2023-04-04
CUS106352,36,Female,Pune,Returning,2023-11-15
CUS107184,20,Male,Ahmedabad,High Value,2024-04-18
CUS103315,42,Female,Delhi,New,2023-08-24
CUS101144,37,Male,Kolkata,Returning,2025-03-03
CUS103803,25,Male,Chennai,New,2024-08-31
CUS105192,45,Other,Chennai,Loyal,2023-02-01
CUS104574,29,Male,Mumbai,Returning,2025-03-23
CUS107264,32,Female,Hyderabad,New,2025-03-13
CUS103460,46,Female,Chennai,Loyal,2023-08-28
CUS101502,31,Female,Hyderabad,Returning,2023-06-10
CUS107606,22,Male,Mumbai,New,2023-01-23
CUS105639,50,Female,Delhi,Returning,2023-04-30
CUS104439,43,Female,Bengaluru,Loyal,2023-03-14
CUS106138,30,Male,Delhi,Returning,2025-03-12
CUS103133,52,Male,Ahmedabad,New,2023-12-13
CUS105723,58,Male,Bengaluru,Loyal,2023-03-02
CUS106109,20,Male,Chennai,New,2025-05-03
CUS102706,26,Female,Chennai,New,2023-05-24
CUS104862,27,Female,Bengaluru,Returning,2024-08-06
CUS106960,60,Female,Chennai,New,2024-02-14
CUS101731,31,Male,Bengaluru,High Value,2023-12-13
CUS101894,18,Female,Kolkata,Loyal,2024-01-14
CUS101544,62,Male,Bengaluru,High Value,2023-05-24
CUS101339,38,Male,Kolkata,Returning,2024-04-06
CUS104707,47,Male,Ahmedabad,Returning,2024-09-19
CUS103113,19,Male,Ahmedabad,High Value,2025-01-30
CUS102835,21,Male,Bengaluru,Returning,2024-09-08
CUS100647,45,Female,Pune,High Value,2024-09-26
CUS104463,56,Male,Chennai,Loyal,2023-09-25
CUS102683,48,Male,Pune,Returning,2024-02-02
CUS107274,44,Female,Pune,Returning,2024-02-24
CUS104679,18,Male,Ahmedabad,Returning,2023-01-15
CUS106652,31,Female,Bengaluru,New,2025-04-26
CUS104094,27,Male,Pune,New,2025-03-28
CUS101053,37,Male,Ahmedabad,Returning,2024-01-01
CUS107173,42,Male,Kolkata,High Value,2024-11-16
CUS106984,55,Female,Kolkata,High Value,2024-04-14
CUS105538,33,Female,Mumbai,High Value,2025-03-07
CUS106477,54,Male,Hyderabad,Returning,2023-07-27
CUS104367,37,Female,Hyderabad,Loyal,2023-06-02
CUS102225,30,Female,Pune,Returning,2023-09-21
CUS100093,26,Male,Mumbai,New,2023-09-13
CUS101882,64,Female,Hyderabad,Returning,2023-08-30
CUS100472,43,Male,Kolkata,High Value,2023-11-21
CUS105171,27,Male,Hyderabad,Loyal,2024-01-24
CUS103728,36,Female,Pune,New,2023-08-10
CUS100101,62,Male,Chennai,New,2024-03-24
CUS103206,52,Female,Mumbai,Returning,2023-01-16
CUS101919,49,Female,Chennai,Returning,2024-12-20
CUS101244,53,Male,Bengaluru,Returning,2023-10-10
CUS104923,46,Male,Mumbai,High Value,2023-11-22
CUS101438,24,Male,Chennai,Loyal,2023-01-26
CUS101746,35,Female,Kolkata,Returning,2023-07-25
CUS105711,62,Other,Kolkata,Loyal,2023-03-14
CUS100908,28,Female,Pune,Returning,2024-09-01
CUS106468,40,Male,Bengaluru,Returning,2023-05-19
CUS102554,64,Female,Bengaluru,New,2024-02-02
CUS101992,29,Female,Pune,New,2024-11-15
CUS103043,30,Female,Pune,New,2023-11-21
CUS100239,37,Female,Pune,New,2023-06-25
CUS106447,29,Other,Hyderabad,New,2024-12-30
CUS105371,56,Female,Delhi,Returning,2023-03-30
CUS106192,45,Female,Pune,New,2024-03-29
CUS102944,39,Male,Hyderabad,New,2023-05-01
CUS104539,25,Male,Mumbai,Returning,2024-08-11
CUS102181,41,Male,Pune,Loyal,2023-05-23
CUS102492,51,Male,Ahmedabad,Loyal,2024-09-12
CUS106355,56,Other,Ahmedabad,New,2024-10-27
CUS105100,36,Female,Bengaluru,Loyal,2023-10-15
CUS106385,45,Male,Pune,New,2023-11-22
CUS104906,61,Female,Hyderabad,New,2023-07-27
CUS103406,44,Female,Kolkata,Returning,2023-09-06
CUS101858,61,Female,Ahmedabad,High Value,2023-03-15
CUS107108,25,Male,Bengaluru,New,2023-07-21
CUS104355,65,Male,Chennai,Returning,2023-01-02
CUS105266,44,Female,Bengaluru,New,2023-01-22
CUS102177,27,Female,Kolkata,New,2023-01-25
CUS100349,55,Other,Pune,Loyal,2024-08-31
CUS103248,20,Female,Kolkata,Loyal,2023-09-19
CUS100554,37,Other,Ahmedabad,Loyal,2024-02-22
CUS107664,37,Female,Ahmedabad,New,2023-09-17
CUS105956,21,Male,Bengaluru,Returning,2023-01-29
CUS107927,40,Male,Chennai,High Value,2024-11-04
CUS106403,27,Male,Hyderabad,Returning,2024-03-23
CUS104074,56,Male,Ahmedabad,New,2024-05-20
CUS100828,19,Female,Pune,Returning,2023-03-14
CUS100586,54,Male,Delhi,New,2023-06-08
CUS105808,22,Male,Bengaluru,Loyal,2023-12-14
CUS102954,38,Female,Hyderabad,High Value,2023-12-09
CUS104381,18,Female,Chennai,New,2024-01-12
CUS104103,60,Male,Kolkata,Returning,2023-06-04
CUS102319,52,Male,Mumbai,Loyal,2024-10-28
CUS107793,57,Male,Bengaluru,New,2025-06-07
CUS104366,50,Male,Kolkata,Loyal,2023-09-20
CUS100429,50,Female,Kolkata,Returning,2023-03-22
CUS105563,38,Female,Hyderabad,Returning,2024-05-31
CUS104587,57,Female,Pune,Returning,2023-01-26
CUS101701,62,Male,Ahmedabad,New,2024-10-30
CUS105013,40,Male,Mumbai,New,2024-01-18
CUS100856,35,Male,Delhi,New,2023-10-17
CUS102913,31,Female,Delhi,New,2024-09-15
CUS104789,50,Female,Kolkata,New,2023-03-18
CUS106922,30,Female,Kolkata,New,2024-07-28
CUS102716,50,Male,Ahmedabad,New,2024-04-30
CUS105035,25,Female,Ahmedabad,New,2023-01-30
CUS107540,19,Female,Ahmedabad,Returning,2023-03-28
CUS103995,36,Male,Kolkata,Returning,2024-09-14
CUS101979,31,Male,Kolkata,New,2023-07-06
CUS103307,20,Male,Kolkata,Returning,2023-06-10
CUS105011,64,Male,Kolkata,Loyal,2023-12-23
CUS106702,58,Female,Ahmedabad,Loyal,2025-06-09
CUS101616,24,Male,Pune,Loyal,2025-03-09
CUS103666,54,Male,Chennai,High Value,2024-01-17
CUS105914,53,Male,Pune,New,2024-01-10
CUS106063,24,Female,Kolkata,Returning,2023-09-05
CUS106317,19,Female,Hyderabad,Loyal,2025-02-24
CUS106765,34,Female,Mumbai,Loyal,2024-12-13
CUS103172,65,Male,Ahmedabad,Returning,2023-03-15
CUS103131,52,Male,Delhi,New,2025-02-28
CUS107306,47,Female,Pune,New,2025-04-30
CUS101078,57,Female,Kolkata,High Value,2024-02-02
CUS100453,27,Male,Mumbai,Returning,2023-12-06
CUS104369,26,Male,Pune,Returning,2023-12-03
CUS106022,49,Female,Chennai,Returning,2024-07-12
CUS105471,57,Female,Kolkata,Returning,2023-07-22
CUS107711,39,Male,Delhi,Loyal,2024-06-09
CUS101417,60,Male,Kolkata,High Value,2023-02-27
CUS107028,49,Male,Hyderabad,New,2023-10-30
CUS105307,51,Male,Delhi,New,2023-06-22
CUS106671,37,Female,Chennai,Returning,2024-08-12
CUS107499,47,Female,Hyderabad,New,2025-05-24
