Record_ID,Campaign_ID,Customer_ID,Date,Impressions,Clicks,Conversions,Spend,Revenue,Device,Audience_Type,CTR_Pct,Conversion_Rate_Pct,ROAS
REC1026923,CMP1056,CUS107401,2024-01-17,86866,8186,1146,41553.97,1630719.38,Mobile,Lookalike,9.42,14,39.24
REC1003242,CMP1112,CUS104665,2024-01-21,21941,2584,125,29736,116159.99,Desktop,Prospecting,11.78,4.84,3.91
REC1006988,CMP1101,CUS107305,2025-10-01,70836,3445,193,23985.62,79987.72,Mobile,Lookalike,4.86,5.6,3.33
REC1018735,CMP1054,CUS101539,2025-04-06,81225,9550,143,15074.59,98607.12,Tablet,Prospecting,11.76,1.5,6.54
REC1006133,CMP1008,CUS100093,2024-12-21,42736,2190,103,39385.83,85170.78,Desktop,Lookalike,5.12,4.7,2.16
REC1029121,CMP1057,CUS106961,2025-05-01,99648,3972,332,51179.96,222601.94,Mobile,Retargeting,3.99,8.36,4.35
REC1034713,CMP1112,CUS106273,2024-06-05,21059,328,7,2836.36,2290.19,Mobile,Lookalike,1.56,2.13,0.81
REC1006400,CMP1099,CUS104131,2025-09-08,98976,8770,404,149483.77,144508.86,Desktop,Retargeting,8.86,4.61,0.97
REC1021207,CMP1117,CUS107551,2025-06-24,42274,907,164,15422.16,195977.78,Desktop,Lookalike,2.15,18.08,12.71
REC1030726,CMP1002,CUS101518,2025-09-05,6132,265,30,3662.47,17113.48,Mobile,Prospecting,4.32,11.32,4.67
REC1025807,CMP1088,CUS103828,2024-01-12,12688,1405,84,5236.34,93975.36,Mobile,Prospecting,11.07,5.98,17.95
REC1012105,CMP1071,CUS102351,2024-05-30,75827,1517,112,7941.87,12536.41,Desktop,Lookalike,2,7.38,1.58
REC1009685,CMP1029,CUS105539,2025-06-17,78522,3438,51,23977.16,68760.88,Mobile,Lookalike,4.38,1.48,2.87
REC1008213,CMP1008,CUS106126,2025-11-19,61429,4305,451,41954.55,298791.85,Tablet,Lookalike,7.01,10.48,7.12
REC1026008,CMP1091,CUS105671,2024-10-24,9868,412,25,6672.89,29642.22,Desktop,Prospecting,4.18,6.07,4.44
REC1021148,CMP1019,CUS106883,2024-07-17,54290,398,61,6473.08,13479.76,Desktop,Prospecting,0.73,15.33,2.08
REC1011355,CMP1028,CUS105676,2025-09-02,67702,1600,146,24200.64,55920.48,Mobile,Retargeting,2.36,9.12,2.31
REC1030434,CMP1099,CUS102108,2025-11-16,53889,2333,68,9148.7,48264,Mobile,Retargeting,4.33,2.91,5.28
REC1003942,CMP1055,CUS103631,2025-02-19,23496,2285,122,9554.54,174510.97,Mobile,Retargeting,9.73,5.34,18.26
REC1011827,CMP1029,CUS103301,2024-08-17,65508,7555,288,130581.3,421546.48,Tablet,Prospecting,11.53,3.81,3.23
REC1034202,CMP1046,CUS102730,2024-10-13,9227,427,70,2603.59,36121.58,Mobile,Lookalike,4.63,16.39,13.87
REC1025459,CMP1070,CUS100302,2024-08-23,71468,7591,1254,31683.11,1550312.32,Mobile,Prospecting,10.62,16.52,48.93
REC1022828,CMP1084,CUS102245,2025-11-21,66528,6597,1090,74296,1537836.34,Mobile,Prospecting,9.92,16.52,20.7
REC1025423,CMP1107,CUS103728,2024-07-12,39594,4320,354,63339.89,422131.08,Mobile,Prospecting,10.91,8.19,6.66
REC1029295,CMP1096,CUS100772,2025-10-29,96060,2923,478,39460.72,69207.2,Desktop,Retargeting,3.04,16.35,1.75
REC1029787,CMP1092,CUS101879,2025-09-14,39269,4217,620,56332,901711.75,Desktop,Prospecting,10.74,14.7,16.01
